in/out/ambiguous,Transicript,start,end
out,CHI: no .,FALSE,FALSE
out,MOT: this one is fine .,FALSE,FALSE
out,CHI: no <I don't like it> [>] .,FALSE,FALSE
out,MOT: <it's perfect for now> [<] okay ?,FALSE,FALSE
out,CHI: I want that (.) one .,FALSE,FALSE
out,MOT: that one is no good .,FALSE,FALSE
in,MOT: it's not a good breakfast .,TRUE,FALSE
in,MOT: xxx Bro ate the raisin [//] raisin bran .,FALSE,TRUE
out,CHI: no I like that .,FALSE,FALSE
out,MOT: xxx when you just have a little of these you can have some of those [>] .,FALSE,FALSE
out,CHI: no [<] !,FALSE,FALSE
out,MOT: guess what Bro ?,FALSE,FALSE
out,MOT: when you take a bath +...,FALSE,FALSE
out,CHI: &=coughs .,FALSE,FALSE
out,MOT: you're gonna take a bath xxx (.) we can do some reading typing (.) lots_of things xxx .,FALSE,FALSE
out,CHI: <but we don't got a typewriter> [>] .,FALSE,FALSE
out,BRO: <I needta> [<] type xxx .,FALSE,FALSE
out,MOT: you did ?,FALSE,FALSE
out,MOT: xxx [>] .,FALSE,FALSE
out,CHI: <we don't have a typewriter> [<] .,FALSE,FALSE
out,BRO: yeah .,FALSE,FALSE
out,MOT: <you don't> [>] hafta type it you don't know how to type .,FALSE,FALSE
out,CHI: xxx [<] .,FALSE,FALSE
out,BRO: you can type it for me I'll tell you the letters .,FALSE,FALSE
out,MOT: I'll tell you what I'll do .,FALSE,FALSE
out,MOT: okay↑ you can write it and I'll type it .,FALSE,FALSE
out,MOT: excellent [?] .,FALSE,FALSE
out,CHI: &-uh &-uh .,FALSE,FALSE
out,BRO: I can try .,FALSE,FALSE
out,MOT: xxx just remember a typewriter is not a toy .,FALSE,FALSE
out,BRO: I know Mot [!] you just said it .,FALSE,FALSE
out,MOT: you hafta be careful xxx .,FALSE,FALSE
out,BRO: xxx recording ?,FALSE,FALSE
out,MOT: yeah it is .,FALSE,FALSE
out,BRO: xxx .,FALSE,FALSE
out,MOT: xxx .,FALSE,FALSE
out,MOT: &=noise:tapehere's your cereal .,FALSE,FALSE
out,CHI: &=noise:tapeI don't like that kind .,FALSE,FALSE
out,MOT: you're not hungry .,FALSE,FALSE
out,MOT: that's what it is .,FALSE,FALSE
in,BRO: long time ago <I> [//] I'd say &-um <amber's up there xxx> [//] Amber's up there xxx her teacher a poem .,TRUE,FALSE
in,MOT: Amber doesn't know how to type .,FALSE,FALSE
in,MOT: she's a little girl .,FALSE,FALSE
in,MOT: she's like you .,FALSE,FALSE
in,BRO: &-uh <I> [/] &-um she tell me the letters so I write it and I gave it to the xxx teacher .,FALSE,TRUE
out,MOT: oh really ?,FALSE,FALSE
out,CHI: she's not little she's bigger than Bro they measure and <she's bigger> [>] .,FALSE,FALSE
out,MOT: well [<] she's a little younger right Bro ?,FALSE,FALSE
out,BRO: yeah so I'm bigger .,FALSE,FALSE
out,MOT: when is Amber's birthday July or August ?,FALSE,FALSE
out,BRO: August <fourth I think> [>] .,FALSE,FALSE
out,CHI: <I don't know> [<] .,FALSE,FALSE
out,MOT: and yours is May right ?,FALSE,FALSE
out,MOT: May June July August .,FALSE,FALSE
out,MOT: so (.) she's three months younger than you .,FALSE,FALSE
out,MOT: she's bigger huh ?,FALSE,FALSE
out,MOT: she sure is big .,FALSE,FALSE
out,MOT: &=noise:tapexxx are you enjoying your weekend ?,FALSE,FALSE
out,BRO: <xxx I am> [>] .,FALSE,FALSE
out,CHI: &=noise:tapeno <I want> [<] Cheerios [>] .,FALSE,FALSE
out,MOT: <I am> [<] .,FALSE,FALSE
out,BRO: xxx .,FALSE,FALSE
out,CHI: I want that &=whining .,FALSE,FALSE
out,BRO: xxx .,FALSE,FALSE
out,MOT: xxx want the Raisin_Bran now ?,FALSE,FALSE
out,CHI: no !,FALSE,FALSE
out,MOT: then you going to hafta wait for me to fix the pancakes okay ?,FALSE,FALSE
out,CHI: oh no no no no !,FALSE,FALSE
out,BRO: xxx .,FALSE,FALSE
out,MOT: Chi ?,FALSE,FALSE
out,BRO: you can put it in the other way .,FALSE,FALSE
out,MOT: you're not having that &-uh (.) sweet stuff .,FALSE,FALSE
out,MOT: it's only junk .,FALSE,FALSE
out,MOT: put that right please .,FALSE,FALSE
out,CHI: no .,FALSE,FALSE
out,MOT: Bro .,FALSE,FALSE
out,BRO: xxx .,FALSE,FALSE
out,CHI: 0 [=! whiny cry of protest] .,FALSE,FALSE
out,MOT: so you really wanna go to Javier's house Bro ?,FALSE,FALSE
out,BRO: yeah .,FALSE,FALSE
out,CHI: I want +...,FALSE,FALSE
out,MOT: well he seems like a nice boy huh ?,FALSE,FALSE
out,BRO: xxx .,FALSE,FALSE
out,CHI: <&=whining want Cheerios &=crying> [<] [>] .,FALSE,FALSE
out,MOT: <we're going> [<] to get to go (.) all of us (.) one day .,FALSE,FALSE
out,BRO: yes .,FALSE,FALSE
out,CHI: &=whining xxx <cereal xxx> [>] !,FALSE,FALSE
out,BRO: xxx [<] .,FALSE,FALSE
out,CHI: I want Cheerios &=whining .,FALSE,FALSE
out,MOT: want some bread ?,FALSE,FALSE
out,CHI: want cereal &=whining .,FALSE,FALSE
out,BRO: I +/.,FALSE,FALSE
out,CHI: no .,FALSE,FALSE
out,BRO: <I> [/] I can my xxx .,FALSE,FALSE
out,BRO: <I> [//] [=! sounds of hesitation] I know what it is xxx .,FALSE,FALSE
out,MOT: xxx .,FALSE,FALSE
out,BRO: Mom I still know xxx .,FALSE,FALSE
out,CHI: xxx .,FALSE,FALSE
out,MOT: xxx .,FALSE,FALSE
out,CHI: &=crying .,FALSE,FALSE
out,BRO: Mom !,FALSE,FALSE
out,BRO: <xxx I do it with my eyes closed> [>] xxx .,FALSE,FALSE
out,CHI: xxx [<] .,FALSE,FALSE
out,BRO: eight [///] (.) no here .,FALSE,FALSE
out,CHI: seven <six five four three two one> [>] .,FALSE,FALSE
out,BRO: <eight (.) eight nine one> [<] one zero zero three .,FALSE,FALSE
out,MOT: oh yeah that number three is &~t &-uh +...,FALSE,FALSE
out,MOT: you did it backwards like [/] <it looks like a letter e@l xxx> [>] .,FALSE,FALSE
out,BRO: <xxx did that xxx> [<] .,FALSE,FALSE
out,MOT: &=noise:tapexxx went to Amber's house .,FALSE,FALSE
out,BRO: let me see .,FALSE,FALSE
out,BRO: let <me see xxx> [>] .,FALSE,FALSE
out,MOT: <and spend the day at> [<] xxx .,FALSE,FALSE
out,MOT: xxx .,FALSE,FALSE
out,BRO: xxx this it the way it goes see ?,FALSE,FALSE
out,MOT: are you_all done Bro ?,FALSE,FALSE
out,MOT: how (a)bout a &=noise:tape xxx ?,FALSE,FALSE
out,CHI: &=whining I want cheerio I want cheerio [>] .,FALSE,FALSE
out,MOT: apple [<] ?,FALSE,FALSE
in,CHI: I want <cheerio &=whining> [>] +...,TRUE,FALSE
out,BRO: xxx [<] xxx [>] .,FALSE,FALSE
in,CHI: <I want> [<] cheerio <I want cheerio I want cheerio I want cheerio I want cheerio I want cheerio> [>] .,FALSE,FALSE
in,MOT: <Chi I already told you (.) either you eat raisin bran first and then that other cereal xxx> [<] .,FALSE,FALSE
in,CHI: I want Cheerios [!] &=whining .,FALSE,FALSE
in,BRO: I xxx call my friend xxx [//] xxx [//] <I should> [/] I shouldn't xxx talk to you [//] a lady (.) so I can talk +...,FALSE,FALSE
in,MOT: please don't call Bro that's a long distance phone call I'm going hafta be paying for that .,FALSE,TRUE
out,MOT: a lot .,FALSE,FALSE
out,MOT: don't call .,FALSE,FALSE
out,MOT: let him call you okay ?,FALSE,FALSE
out,MOT: Bro don't call .,FALSE,FALSE
out,MOT: thank you .,FALSE,FALSE
out,MOT: let's wait for the boy to call you okay ?,FALSE,FALSE
out,MOT: we're not that rich you know ?,FALSE,FALSE
out,CHI: xxx .,FALSE,FALSE
out,BRO: xxx .,FALSE,FALSE
out,MOT: you can talk to Pedro .,FALSE,FALSE
out,MOT: you can talk to (.) what's <his name Adam> [>] ?,FALSE,FALSE
out,BRO: <xxx I> [<] wanna talk to that guy .,FALSE,FALSE
in,BRO: oh I wanna talk to Javier .,TRUE,FALSE
in,MOT: Javier lives far away .,FALSE,FALSE
out,BRO: so ?,FALSE,FALSE
in,MOT: that [/] that means the phone call you know is a long distance phone call and I hafta pay extra money .,FALSE,FALSE
in,MOT: every time we call him .,FALSE,FALSE
in,MOT: so we hafta wait for <this xxx to> [//] this boy to call you okay ?,FALSE,TRUE
out,BRO: xxx .,FALSE,FALSE
out,MOT: wait for me to do it .,FALSE,FALSE
out,MOT: okay .,FALSE,FALSE
out,MOT: so Chi you wanna wait for me to make a pancake xxx .,FALSE,FALSE
