in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,CHI: still [>] .
in,FALSE,FALSE,SIS: hungry [<] .
out,FALSE,FALSE,CHI: here .
out,FALSE,FALSE,CHI: hungry [>] .
out,FALSE,FALSE,MOT: hungry [<] .
out,FALSE,FALSE,SIS: hungry [<] .
in,FALSE,FALSE,CHI: ate two of (th)em .
out,FALSE,FALSE,SIS: yep .
out,FALSE,FALSE,SIS: Tuesday@q .
out,FALSE,FALSE,CHI: now .
out,FALSE,FALSE,MOT: on [>] .
out,FALSE,FALSE,SIS: one [<] .
out,FALSE,FALSE,CHI: on [>] .
out,FALSE,FALSE,SIS: whoops [<] .
in,FALSE,FALSE,CHI: Tuesday [>] he ate +...
out,FALSE,FALSE,SIS: Tuesday [<] .
in,FALSE,FALSE,SIS: (.) through@q .
out,FALSE,FALSE,CHI: through .
in,FALSE,FALSE,SIS: two .
out,FALSE,FALSE,SIS: two .
out,FALSE,FALSE,CHI: two ?
out,FALSE,FALSE,MOT: Sis shh .
in,FALSE,FALSE,MOT: xxx pears@q .
out,FALSE,FALSE,CHI: pears .
out,FALSE,FALSE,MOT: (.) but@q .
in,FALSE,FALSE,CHI: but he@q .
in,FALSE,FALSE,SIS: (.) was@q .
out,FALSE,FALSE,MOT: was .
out,FALSE,FALSE,CHI: was .
in,FALSE,FALSE,SIS: still .
out,FALSE,FALSE,CHI: still .
in,FALSE,FALSE,SIS: hungry .
out,FALSE,FALSE,CHI: hungry .
in,FALSE,FALSE,CHI: on &~weed .
out,FALSE,FALSE,SIS: xxx .
out,FALSE,FALSE,CHI: www &=sighs okay .
in,FALSE,FALSE,CHI: on Wednesday .
out,FALSE,FALSE,MOT: &=coughs .
in,FALSE,FALSE,SIS: (be)cause he knows Monday [>] Tuesday Wednesday .
in,FALSE,FALSE,CHI: he [<] .
in,FALSE,FALSE,MOT: ate .
out,FALSE,FALSE,CHI: ate .
in,FALSE,FALSE,CHI: plums .
out,FALSE,FALSE,MOT: through .
out,FALSE,FALSE,CHI: through .
in,FALSE,FALSE,CHI: &~th (..) three (.) plums .
out,FALSE,FALSE,MOT: but .
in,FALSE,FALSE,CHI: but he@q .
out,FALSE,FALSE,MOT: was still .
in,FALSE,FALSE,CHI: was still (.) &~h hungry .
out,FALSE,FALSE,CHI: now ?
out,FALSE,FALSE,MOT: &=coughs [>] .
in,FALSE,FALSE,CHI: on [<] Tuesday .
out,FALSE,FALSE,MOT: Thursday@q .
in,FALSE,FALSE,CHI: Thursday he ate (.) four .
out,FALSE,FALSE,MOT: through .
out,FALSE,FALSE,CHI: through four@q .
in,FALSE,FALSE,SIS: cherries .
out,FALSE,FALSE,CHI: cherries .
out,FALSE,FALSE,MOT: strawberries .
in,FALSE,FALSE,CHI: strawberries (..) but he was still hungry .
in,FALSE,FALSE,CHI: (.) on Friday he ate .
out,FALSE,FALSE,MOT: through .
in,FALSE,FALSE,CHI: through &~f www &=sighs five (.) oranges (.) but he was still hungry .
in,FALSE,FALSE,CHI: then he ate through all these .
out,FALSE,FALSE,MOT: on Saturday .
in,FALSE,FALSE,CHI: on Saturday he (.) ate .
in,FALSE,FALSE,MOT: through .
out,FALSE,FALSE,CHI: through .
in,FALSE,FALSE,MOT: one .
out,FALSE,FALSE,CHI: one .
in,FALSE,FALSE,CHI: cake ?
out,FALSE,FALSE,MOT: piece of .
in,FALSE,FALSE,CHI: piece of cake .
out,FALSE,FALSE,MOT: chocolate .
out,FALSE,FALSE,CHI: chocolate .
in,FALSE,FALSE,CHI: this is chocolate ?
out,FALSE,FALSE,MOT: chocolate cake .
out,FALSE,FALSE,INV: &=laughs .
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,INV: getting hungry www &=laughs ?
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,MOT: one .
out,FALSE,FALSE,CHI: one .
in,FALSE,FALSE,MOT: what is it ?
out,FALSE,FALSE,CHI: icecream .
out,FALSE,FALSE,MOT: cone .
out,FALSE,FALSE,CHI: cone .
out,FALSE,FALSE,CHI: one .
out,FALSE,FALSE,MOT: pickle [?] .
out,FALSE,FALSE,CHI: pickle (.) one@q .
out,FALSE,FALSE,MOT: slice .
in,FALSE,FALSE,CHI: slice cheese .
in,FALSE,FALSE,MOT: of .
out,FALSE,FALSE,CHI: of .
out,FALSE,FALSE,MOT: Swiss@q .
in,FALSE,FALSE,CHI: Swiss &~chee cheese .
in,FALSE,FALSE,CHI: one (.) slice (.) of .
out,FALSE,FALSE,MOT: salami .
in,FALSE,FALSE,CHI: salami (.) one@q slice +/.
out,FALSE,FALSE,MOT: hm: .
in,FALSE,FALSE,MOT: one lollipop [>] .
out,FALSE,FALSE,CHI: one [<] .
out,FALSE,FALSE,CHI: lollipop .
in,FALSE,FALSE,CHI: one (.) piece of cake .
out,FALSE,FALSE,MOT: cherry pie .
out,FALSE,FALSE,CHI: cherry pie .
out,FALSE,FALSE,CHI: one .
out,FALSE,FALSE,MOT: sausage .
out,FALSE,FALSE,CHI: sausage .
in,FALSE,FALSE,CHI: one cupcake (.) and one .
in,FALSE,FALSE,MOT: slice .
out,FALSE,FALSE,CHI: slice of@q .
out,FALSE,FALSE,CHI: I dunno [: don't know] .
in,FALSE,FALSE,MOT: watermelon .
out,FALSE,FALSE,CHI: watermelon .
out,FALSE,FALSE,MOT: that night .
in,FALSE,FALSE,CHI: that night he (.) a .
in,FALSE,FALSE,MOT: had .
out,FALSE,FALSE,CHI: had .
out,FALSE,FALSE,MOT: a .
in,FALSE,FALSE,CHI: a stomachache@q .
out,FALSE,FALSE,MOT: xxx .
out,FALSE,FALSE,CHI: do these ?
out,FALSE,FALSE,CHI: the .
in,FALSE,FALSE,MOT: the next day .
out,FALSE,FALSE,CHI: the next day .
in,FALSE,FALSE,MOT: was .
out,FALSE,FALSE,CHI: was .
in,FALSE,FALSE,MOT: Sunday@q .
out,FALSE,FALSE,CHI: Sunday .
out,FALSE,FALSE,MOT: again .
in,FALSE,FALSE,CHI: the (.) calipillar@c [: caterpillar] ate leaf ?
out,FALSE,FALSE,MOT: through .
out,FALSE,FALSE,CHI: through .
out,FALSE,FALSE,CHI: one [/] one +...
out,FALSE,FALSE,MOT: ++ nice@q .
out,FALSE,FALSE,CHI: nice .
out,FALSE,FALSE,MOT: what color is this ?
out,FALSE,FALSE,CHI: green .
out,FALSE,FALSE,MOT: leaf .
out,FALSE,FALSE,CHI: leaf .
out,FALSE,FALSE,CHI: at .
out,FALSE,FALSE,MOT: and .
out,FALSE,FALSE,CHI: and .
out,FALSE,FALSE,MOT: after .
out,FALSE,FALSE,CHI: after .
out,FALSE,FALSE,MOT: that .
in,FALSE,FALSE,CHI: that (.) he &~f fai@u .
in,FALSE,FALSE,MOT: felt .
out,FALSE,FALSE,CHI: felt .
out,FALSE,FALSE,MOT: (.) much@q .
in,FALSE,FALSE,CHI: much better@q .
out,FALSE,FALSE,SIS: I needta get the book that Vanessa [= sister] was reading to me .
out,FALSE,FALSE,CHI: xxx .
in,FALSE,TRUE,CHI: he turned into a butterfly .
in,TRUE,FALSE,CHI: now he .
out,FALSE,FALSE,CHI: &=sighs .
out,FALSE,FALSE,MOT: wasn't .
in,FALSE,FALSE,CHI: wasn't (..) hungry@q .
out,FALSE,FALSE,MOT: (.) anymore@q .
in,FALSE,FALSE,CHI: anymore at@q .
out,FALSE,FALSE,MOT: &-uh &-uh &-uh &-uh .
out,FALSE,FALSE,MOT: and .
in,FALSE,FALSE,CHI: and he@q .
out,FALSE,FALSE,MOT: wasn't .
in,FALSE,FALSE,CHI: wasn't a little calipillar@c [: caterpillar] .
in,FALSE,FALSE,MOT: anymore .
out,FALSE,FALSE,CHI: anymore .
in,FALSE,FALSE,CHI: he (.) wasn't a .
out,FALSE,FALSE,MOT: he was a .
in,FALSE,TRUE,CHI: he was a (.) butterfly ?
out,FALSE,FALSE,MOT: big .
out,FALSE,FALSE,CHI: big .
out,FALSE,FALSE,CHI: &~f .
out,FALSE,FALSE,MOT: fat .
out,FALSE,FALSE,CHI: fat calipillar@c [: caterpillar] .
out,FALSE,FALSE,MOT: www &=laughs he can read caterpillar@q but he can't read &=laughs .
out,FALSE,FALSE,MOT: www &=laughs that's funny .
out,FALSE,FALSE,MOT: big words .
out,FALSE,FALSE,CHI: he .
out,FALSE,FALSE,MOT: 0 [=! clears throat] .
out,FALSE,FALSE,MOT: built .
in,TRUE,FALSE,CHI: built a (.) some ?
in,FALSE,FALSE,MOT: small .
out,FALSE,FALSE,CHI: small .
in,FALSE,FALSE,MOT: house .
out,FALSE,FALSE,CHI: house .
in,FALSE,FALSE,CHI: calipillar@c [: caterpillar] ?
out,FALSE,FALSE,MOT: uhuh .
in,FALSE,FALSE,MOT: called .
out,FALSE,FALSE,CHI: called a@q .
in,FALSE,FALSE,MOT: cocoon .
out,FALSE,FALSE,CHI: cocoon .
in,FALSE,FALSE,MOT: (.) around himself &=yawns .
in,FALSE,FALSE,CHI: around hisself [: himself] [*] .
in,FALSE,FALSE,CHI: he +...
in,FALSE,FALSE,MOT: ++ (.) stayed@q .
out,FALSE,FALSE,CHI: stayed (.) in [/] in +...
out,FALSE,FALSE,MOT: ++ (.) inside@q .
in,FALSE,FALSE,CHI: inside for +...
in,FALSE,FALSE,MOT: ++ more@q .
out,FALSE,FALSE,CHI: more .
out,FALSE,FALSE,MOT: &=coughs .
in,FALSE,FALSE,MOT: than .
out,FALSE,FALSE,CHI: than .
in,FALSE,FALSE,CHI: (.) two@q .
in,FALSE,FALSE,MOT: weeks .
out,FALSE,TRUE,CHI: weeks .
in,TRUE,FALSE,CHI: then he turned .
out,FALSE,FALSE,MOT: nibbled .
in,FALSE,FALSE,CHI: nibbled a &~f fly ?
out,FALSE,FALSE,MOT: hole .
in,FALSE,FALSE,CHI: hole (.) in the +...
in,FALSE,FALSE,MOT: ++ (.) cocoon@q .
out,FALSE,FALSE,CHI: cocoon (.) putt@q .
in,FALSE,FALSE,MOT: pushed .
out,FALSE,FALSE,CHI: pushed .
out,FALSE,FALSE,CHI: (..) &~s his [>] .
out,FALSE,FALSE,MOT: his [<] .
out,FALSE,FALSE,MOT: &=coughs .
out,FALSE,FALSE,MOT: way .
out,FALSE,FALSE,CHI: way .
out,FALSE,FALSE,MOT: (..) out@q .
out,FALSE,FALSE,CHI: out (.) in@q .
out,FALSE,FALSE,MOT: and .
out,FALSE,FALSE,CHI: and .
in,FALSE,FALSE,CHI: he turned [?] .
out,FALSE,FALSE,MOT: was .
in,FALSE,FALSE,CHI: was a butterfly .
out,FALSE,FALSE,MOT: beautiful .
in,FALSE,TRUE,CHI: beautiful butterfly !
out,FALSE,FALSE,CHI: the end .
out,FALSE,FALSE,INV: that's very good .
