in/out/ambiguous,start,end,Trancript
out,FALSE,FALSE,CHI: there .
out,FALSE,FALSE,CHI: whoops .
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,STA: eek !
out,FALSE,FALSE,STA: there .
out,FALSE,FALSE,STA: <where's> [>] .
out,FALSE,FALSE,CHI: pardon [<] ?
in,TRUE,FALSE,STA: now where's this [/] this susposed@n to be ?
in,FALSE,FALSE,CHI: in the stove (.) in the stove .
out,FALSE,FALSE,STA: okay .
in,FALSE,TRUE,STA: here's the stove (.) here's the stove .
out,FALSE,FALSE,STA: ah now how do you open this thing .
out,FALSE,FALSE,CHI: I know how .
out,FALSE,FALSE,CHI: open the door .
out,FALSE,FALSE,STA: I will (.) if I can .
out,FALSE,FALSE,CHI: your nails aren't sharp enough .
out,FALSE,FALSE,CHI: here .
out,FALSE,FALSE,STA: hey !
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,STA: how can I get this open ?
out,FALSE,FALSE,CHI: here .
out,FALSE,FALSE,CHI: ta_ta@wp .
out,FALSE,FALSE,STA: ah (.) now what did I have ?
out,FALSE,FALSE,CHI: there .
out,FALSE,FALSE,STA: what did I have ?
out,FALSE,FALSE,STA: xxx [>] .
out,FALSE,FALSE,CHI: no [<] .
out,FALSE,FALSE,CHI: a rolling pin .
out,FALSE,FALSE,STA: 0 .
out,FALSE,FALSE,CHI: it won't fit .
out,FALSE,FALSE,STA: yes it will .
out,FALSE,FALSE,CHI: not unless you break it in half .
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,STA: well .
out,FALSE,FALSE,STA: just leave it like that .
out,FALSE,FALSE,STA: it still shuts .
out,FALSE,FALSE,STA: who gives a hoot ?
out,FALSE,FALSE,STA: xxx .
out,FALSE,FALSE,CHI: dum_dum_dum@wp (.) I think this [= picture frame] goes on top of the house .
out,FALSE,FALSE,STA: does it .
in,TRUE,FALSE,CHI: I think this shingles the house .
in,FALSE,FALSE,STA: no (.) no it doesn't .
out,FALSE,FALSE,CHI: what does it do .
out,FALSE,FALSE,STA: I don't know .
in,FALSE,FALSE,STA: where should I put it .
in,FALSE,FALSE,CHI: it's a tough one .
in,FALSE,FALSE,CHI: on the bed .
out,FALSE,FALSE,STA: &=laughs .
in,FALSE,TRUE,CHI: comforter .
out,FALSE,FALSE,STA: no .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,STA: now let's play .
out,FALSE,FALSE,CHI: what .
out,FALSE,FALSE,STA: after we make this you get to play .
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,CHI: let's play building xxx .
out,FALSE,FALSE,STA: what .
out,FALSE,FALSE,CHI: building .
in,TRUE,FALSE,CHI: here's the other part of the tree (.) if you wanna put [/] put it together .
in,FALSE,FALSE,STA: now that's the bottom .
in,FALSE,FALSE,CHI: I'm going at the building .
in,FALSE,FALSE,CHI: xxx how do you put this stuff together .
in,FALSE,TRUE,STA: it [= play+house tree] broke .
out,FALSE,FALSE,CHI: what're you doing ?
out,FALSE,FALSE,CHI: what's broken ?
out,FALSE,FALSE,CHI: the tree .
out,FALSE,FALSE,STA: yeah .
out,FALSE,FALSE,CHI: too bad (.) so sad .
out,FALSE,FALSE,STA: who gives .
out,FALSE,FALSE,CHI: who gives .
out,FALSE,FALSE,STA: I guess you won't help me Kristin .
out,FALSE,FALSE,CHI: put everything away .
out,FALSE,FALSE,STA: no !
out,FALSE,FALSE,STA: put it gentle .
out,FALSE,FALSE,STA: (.) put it gentle .
out,FALSE,FALSE,STA: don't put it hard (.) put it gentle .
out,FALSE,FALSE,CHI: okay .
in,TRUE,FALSE,STA: papa is sitting (.) and brother .
in,FALSE,FALSE,CHI: papa .
in,FALSE,FALSE,STA: he is sitting and brother .
in,FALSE,FALSE,STA: where's sister .
in,FALSE,FALSE,STA: sister (.) is laying .
in,FALSE,TRUE,STA: and mama (.) is (.) laying .
out,FALSE,FALSE,STA: put it in gentle .
out,FALSE,FALSE,CHI: put it in gentle .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: that's what you say .
out,FALSE,FALSE,STA: no ?
out,FALSE,FALSE,STA: <keep the things together> [!!] !
out,FALSE,FALSE,STA: I got it [= bear figure] first .
out,FALSE,FALSE,CHI: I want it .
out,FALSE,FALSE,STA: okay .
out,FALSE,FALSE,STA: building .
out,FALSE,FALSE,CHI: I've got the monkey wrench (.) shoo@o shoo@o shoo@o .
out,FALSE,FALSE,STA: monkey wrench .
out,FALSE,FALSE,CHI: well see this is sposta be a monkey wrench .
out,FALSE,FALSE,STA: how do I attach this one .
out,FALSE,FALSE,CHI: I don't know how .
out,FALSE,FALSE,STA: now I know .
out,FALSE,FALSE,CHI: hey !
out,FALSE,FALSE,CHI: you took the last one of those things .
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,CHI: oh xxx now I can't attach .
out,FALSE,FALSE,STA: oh xxx the last one !
out,FALSE,FALSE,STA: I don't want this .
out,FALSE,FALSE,STA: take this apart .
out,FALSE,FALSE,STA: you just xxx .
out,FALSE,FALSE,CHI: oh yeah (.) right .
out,FALSE,FALSE,STA: don't say that .
out,FALSE,FALSE,CHI: nnn_nnn_nnn@o .
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,STA: where's the door to this [= truck] .
out,FALSE,FALSE,CHI: firetruck !
out,FALSE,FALSE,CHI: (.) nice firetruck .
out,FALSE,FALSE,STA: yeah .
out,FALSE,FALSE,STA: what's in here [= tool box] ?
out,FALSE,FALSE,STA: too_too@wp .
out,FALSE,FALSE,CHI: let me see .
out,FALSE,FALSE,STA: no .
out,FALSE,FALSE,CHI: <let me see> [>] .
out,FALSE,FALSE,STA: <I'm gonna> [<] build this .
out,FALSE,FALSE,STA: whoops !
out,FALSE,FALSE,STA: junk_food [?] .
out,FALSE,FALSE,STA: &=laughs .
out,FALSE,FALSE,STA: what's that (.) thing you're using .
out,FALSE,FALSE,CHI: mm .
out,FALSE,FALSE,STA: wheelbarrow .
out,FALSE,FALSE,STA: you hang on to the wheelbarrow .
